Number Unrolled,MegaFlops from run 1 Original,MegaFlops from run 1 Improved,MegaFlops from run 2 Original,MegaFlops from run 2 Improved,MegaFlops from run 3 Original,MegaFlops from run 3 Improved,Average MegaFlops Original,Average MegaFlops New,Ranking,Improvement (%)
l+=2,94.2,94,94.1,93.9,94.2,94,94.16666667,93.96666667,18,-0.21%
l+=4,94.2,94.3,94.2,94.2,94.1,94.2,94.16666667,94.23333333,17,0.07%
l+=8,94.1,94.3,94.3,94.3,94.1,94.3,94.16666667,94.3,16,0.14%
l+=16,94.1,94.2,94.1,94.3,94.1,94.3,94.1,94.26666667,15,0.18%
k+=2,94,96.8,94.1,96.8,94.1,96.8,94.06666667,96.8,14,2.91%
k+=4,94,98.8,94,98.9,94,99.1,94,98.93333333,13,5.25%
k+=8,94,118.9,94.1,119.4,94,118.5,94.03333333,118.9333333,5,26.48%
k+=16,94.1,106.1,94.1,106.1,94.1,106.1,94.1,106.1,8,12.75%
j+=2,94.1,100.9,94.2,101,94.1,101,94.13333333,100.9666667,11,7.26%
j+=4,94.1,104.6,94.2,104.5,94,104.4,94.1,104.5,9,11.05%
j+=8,94.1,176.6,94.1,176.4,94,177.1,94.06666667,176.7,3,87.85%
j+=16,94.2,265,94.2,263.2,94.1,262.9,94.16666667,263.7,2,180.04%
j+=32,94.2,283.3,94.1,284.1,94.1,283.5,94.13333333,283.6333333,1,201.31%
i+=2,94,100.5,94.2,100.7,94.1,100.7,94.1,100.6333333,12,6.94%
i+=4,94.1,102.6,94.2,102.7,94.1,102.6,94.13333333,102.6333333,10,9.03%
i+=8,94.1,115.3,94.1,115.4,94.1,115.5,94.1,115.4,7,22.64%
i+=16,94.1,118.2,94.1,118.3,94,118.3,94.06666667,118.2666667,6,25.73%
i+=32,94.2,121.3,94.1,121.7,94.2,121.6,94.16666667,121.5333333,4,29.06%
