Loop Order,Number Unrolled,Blocking Value,MegaFlops from run 1 Original,MegaFlops from run 1 Improved,MegaFlops from run 2 Original,MegaFlops from run 2 Improved,MegaFlops from run 3 Original,MegaFlops from run 3 Improved,Average MegaFlops Original,Average MegaFlops New,Ranking,Improvement (%)
lkij,j+=2,No blocking,93.9,575.2,93.9,575.8,93.9,574.7,93.9,575.2333333,13,512.60%
lkij,j+=4,No blocking,94,595.4,94,592.5,94,593.4,94,593.7666667,6,531.67%
lkij,j+=8,No blocking,93.9,604.8,93.9,600.7,93.9,605.5,93.9,603.6666667,3,542.88%
lkij,j+=16,No blocking,93.9,610.6,93.9,606.9,93.9,610.5,93.9,609.3333333,1,548.92%
lkij,j+=32,No blocking,94,527.1,94,526,93.9,525.3,93.96666667,526.1333333,23,459.91%
lkij,i+=2,No blocking,94,554.9,94,563.1,93.9,555.5,93.96666667,557.8333333,16,493.65%
lkij,i+=4,No blocking,93.9,550.7,93.9,550,94,554.9,93.93333333,551.8666667,18,487.51%
lkij,i+=8,No blocking,93.9,544.4,93.9,544.2,93.9,543.7,93.9,544.1,19,479.45%
lkij,i+=2; j+=2,No blocking,93.9,591.1,93.9,590.3,93.9,596.1,93.9,592.5,8,530.99%
lkij,i+=2; j+=4,No blocking,93.9,594.6,93.8,592.9,93.9,582.3,93.86666667,589.9333333,9,528.48%
lkij,not used,T=1,94,231.9,94,231.5,94,231.7,94,231.7,32,146.49%
lkij,not used,T=2,93.9,375.6,93.9,377.7,93.9,376.4,93.9,376.5666667,31,301.03%
lkij,not used,T=4,94,425.4,93.9,432.5,93.8,431.1,93.9,429.6666667,30,357.58%
lkij,not used,T=8,93.9,459.5,94,459.5,94,461.4,93.96666667,460.1333333,28,389.68%
lkij,not used,T=16,93.9,480.9,93.9,485.2,93.8,481,93.86666667,482.3666667,26,413.88%
lkij,not used,T=32,93.8,485.9,93.9,476.7,93.9,484.7,93.86666667,482.4333333,25,413.96%
lkij,not used,T=64,93.9,479.1,93.9,477.5,93.9,480.9,93.9,479.1666667,27,410.29%
lkij,j+=2,T=2,93.9,437.2,94,434.6,93.9,436.7,93.93333333,436.1666667,29,364.34%
lkij,j+=2,T=4,94,518.2,93.9,517.5,93.9,517.5,93.93333333,517.7333333,24,451.17%
lkij,j+=4,T=4,93.9,539.1,93.9,539.3,93.9,533.8,93.9,537.4,22,472.31%
lkij,j+=2,T=8,94,543.2,93.9,538,93.9,534.7,93.93333333,538.6333333,21,473.42%
lkij,j+=4,T=8,93.9,565.3,93.9,564.5,93.9,568,93.9,565.9333333,14,502.70%
lkij,j+=8,T=8,93.9,578.1,94,586.3,93.9,586.3,93.93333333,583.5666667,11,521.26%
lkij,j+=2,T=16,93.9,555.3,93.9,553.5,93.9,555.8,93.9,554.8666667,17,490.91%
lkij,j+=4,T=16,94,572.3,93.9,584.1,93.9,584.2,93.93333333,580.2,12,517.67%
lkij,j+=8,T=16,93.9,589.8,94,590.2,93.9,598.3,93.93333333,592.7666667,7,531.05%
lkij,j+=16,T=16,93.9,608.4,93.9,607,94,604.1,93.93333333,606.5,2,545.67%
lkij,j+=2,T=32,93.8,556,93.9,560.4,93.9,557.9,93.86666667,558.1,15,494.57%
lkij,j+=4,T=32,94,580.8,93.9,579.2,94,594.3,93.96666667,584.7666667,10,522.31%
lkij,j+=8,T=32,93.9,596.4,93.8,596.5,93.9,595,93.86666667,595.9666667,5,534.91%
lkij,j+=16,T=32,93.9,605.9,94,601.2,93.9,600.8,93.93333333,602.6333333,4,541.55%
lkij,j+=32,T=32,94,546,94,544.4,94,541,94,543.8,20,478.51%
